Hadi.	{'6', '2', '1'}
- Neden bana yardım etmedin?	{'1'}
Balboa kadar iyiyim ve lanet bir robot olarak tanınmaktan bıktım!	{'1'}
Dinle, Tommy.	{'6'}
- Dinle.	{'1'}
İnsanlar bir kopya mı yoksa derimin rengi yüzünden fırsat yakalamış bir sahtekar mı olduğumu düşünüyor?	{'4'}
Kabul etmezse ona hakaret et!	{'1'}
Onun ringe çıkması için ne gerekiyorsa yap.	{'2'}
Yapman gereken bu.	{'2'}
Fırlat.	{'1'}
Sokakta ne olduğuna bak.	{'4'}
Seninle konuşmam bitmedi!	{'4'}
Bak, sana söyleyecek başka lafım yok.	{'1'}
- Senin için iyi şeyler istedim.	{'8'}
Para için yaptığımı düşünüyorsun, öyle mi, Tommy?	{'7'}
Bizi ringe çıkarmak istiyor.	{'8'}
Ne seni umursuyor, ne de beni.	{'6'}
Gerçeğe dönelim.	{'2'}
- Hey!	{'1', '5'}
- Haydi, Paulie.	{'1'}
- Paulie, iyi misin?	{'4'}
Haydi bakalım.	{'8'}
- O bir serseri, Rocky.	{'3'}
Ama sana söyledim, asla bir sokak dövüşçüsü gibi davranma.	{'6'}
Bu çok güzel.	{'5'}
Ayağa kalk!	{'1'}
Ben zil sesi duymadım!	{'1'}
Ayağa kalk piç kurusu çünkü Mick seni seviyor.	{'8'}
Yo, Tommy!	{'5'}
Haydi.	{'2', '1', '5'}
İşini bitirdin.	{'5'}
Haydi, baba.	{'2'}
Vur ona, baba.	{'8'}
Sen haklıydın.	{'8'}
Serseriyi saf dışı bıraktın, ha?	{'8'}
Bana dokun, dava açarım.	{'3'}
Bana dokun, sana dava açayım.	{'1'}
- Haydi, Speedy Gonzalez!	{'2'}
Benim için herşeyin başladığı yer.	{'5'}
Hesap vermem de gerekmiyor.	{'8'}
Merak ediyorsan söyleyeyim, ...şirket bankayla zor günler yaşıyor.	{'1'}
Affedersiniz.	{'1', '5'}
Abercrombie and Blair yayın evi kurucusu, sarhoş ya da ayık.	{'1'}
İyi biridir.	{'8'}
Bay Scott Blair ile konuşmam gerekiyor.	{'2'}
Burada değil, tatlım.	{'6'}
Ama, dün de burada yoktu.	{'5'}
Panik atak biridir.	{'3'}
Bay Blair için.	{'1'}
- Bak, para kazanmaya çalışıyorum.	{'2'}
Senin kadar istesem de Bay Barley Scott Blair'in burada olmasını sağlayamam.	{'3'}
Rus bir arkadaşım çok önemli bir roman yazdı.	{'2'}
Glasnost'a rağmen arkadaşımın kitabı Sovyetler Birliği'nde basılamıyor.	{'1'}
- Gülümse.	{'5'}
Gülümse.	{'5'}
Görebilir miyim?	{'2'}
Önce mektupla başlayalım.	{'2'}
- Nerede bu müsvedde?	{'2'}
Pekâlâ ilgilendirir.	{'1'}
Peki, nasıl bir sonuca varmak gerekiyor?	{'7'}
Neden kaçtın, Barley? Kaçmak mı?	{'7'}
Kadın, erkek ya da Moskovalı bir dönme. Bundan size ne?	{'1'}
Lizbon'da ne yapıyordun, Barley?	{'8'}
Otur ve bir şeyler iç.	{'3'}
Elçiliğin yeri mi değişti, yoksa kaçırıldım mı?	{'1'}
Bay Blair, efendim?	{'4'}
Gelin ve diğerleriyle tanışın.	{'2'}
Biraz iyi bir şeyler yapalım.	{'2'}
Bu kimin aklına gelirdi ki?	{'5'}
Bu defa nereye gidiyoruz?	{'2'}
Dünya kadar zamanın var.	{'7'}
- İyi düşün	{'1'}
sana söyledim.	{'1'}
Orada değildi bile.	{'1'}
Yazarlarına çok değer verirler.	{'8'}
Ben de bunu başaranlardan biriyim.	{'5'}
- O gün çok iyiydim.	{'5'}
Birbirimizi korumak zorundayız çünkü tüm bu kurbanlar eşit.	{'8'}
Kahramanca düşünce.	{'7'}
Bu zırvalara inanıyor musun?	{'7'}
Onları bu yüzden çok seviyorum.	{'8'}
Ne çaldın, saksofonun mu vardı?	{'7'}
Dante, eski dostum!	{'7'}
Ülkemi seviyorum.	{'8'}
Geçimini neyle sağlıyorsun?	{'2'}
Bu defa hangi içi boş şeylerle ilgileniyorsun?	{'1'}
Ama söyleyen benim.	{'6'}
Bana casus olmadığına söz ver ben de kendi sözümü vereyim.	{'7'}
Dürüst olmak beni tedirgin etmeye başladı.	{'4'}
Başka şeylerden konuşalım.	{'3'}
Söz ver.	{'8'}
Söz mü?	{'8'}
Nedenini biliyorum. Kafanı kuma gömdün.	{'1'}
- Bu da kim? - Walter.	{'1'}
Başaramadılar.	{'6'}
Onu tanımak isterdim.	{'6'}
Her ayağa kalktıklarında hayalarına bir tane indireceksin.	{'1'}
Lanet olası kadın.	{'1'}
Ülkelerinin savunmasında aktif bir rol almaya çalışıyorlar.	{'5'}
İyi bir kilise, siz piçleri yıllar önce yakmalıydı.	{'1'}
Yardım edebilir miyim yoksa not mu bırakmak istersiniz?	{'2'}
Hepsini buraya yazdım.	{'1'}
Bir an önce bitsin istiyorum.	{'1'}
Hepsi Rusya hakkında bilmek istediğimiz ama sormaya korktuğumuz şeyler.	{'8'}
Kimliği belirsiz biri bize Rusların çok geride olduğunu ve bize zarar veremeyeceklerini söylüyor, değil mi?	{'7'}
Bon voyage, Barley.	{'5'}
Niki, seni aramam için çok ısrarcı oldu.	{'2'}
Neden aradığımı söyleyeyim.	{'1'}
Niki sana bir ton kadar çay yolladı.	{'7'}
Sen de Bay Barley olmalısın.	{'8'}
Bani nasıl tanıdınız, Bay Barley?	{'7'}
Üç yıl önce burada tutuklanıyordum.	{'4'}
Askeri objeleri fotoğrafladığımı söylediler.	{'4'}
Her şey bozuk ve yetersiz.	{'1'}
- Sesini yükseltmesen olmaz mı?	{'4'}
Bu tür uygunsuz özel sorulara cevap vermiyorum.	{'1'}
Ama bir şeyler yapılabilir.	{'8'}
Moskova'da ne kadar kalacaksınız, Bay Barley?	{'2'}
Besteci?	{'2'}
Aşçı?	{'7'}
Ne yazık ki, çocuklarıma dönmek zorundayım.	{'6'}
Akşam yemeğini birlikte yiyelim.	{'8'}
- O halde ev telefon numaranı ver.	{'1'}
"- Hayır, ""Belki"" deme."	{'6'}
Neden bastonun yok?	{'7'}
- Barley iyi para ödüyor mu, Bay Wicklow?	{'2'}
- Rusya bugünlerde iyi para ediyor.	{'8'}
Satış ekibi hazır mı, yoksa hâlâ düzenleme aşamasında mıyız?	{'1'}
Çevirmen durumu nedir?	{'1'}
Kitap fuarına daha bir ay var.	{'7'}
Anlıyor musun?	{'2'}
Asla.	{'2'}
- Biz hazırız.	{'2'}
Bu şeyden içer misin?	{'2'}
Mühendis mi?	{'7'}
Niçin konuşmaya başlayıp neler olacağına bakmıyoruz?	{'8'}
Hadi, benim, Barley Blair.	{'4'}
- Dante kim?	{'7'}
- Bilmiyorum. Sana ne söyleyebileceğimi bilmiyorum.	{'4'}
Sana, bana söylemen için ne söyledi?	{'1'}
O çok cömerttir.	{'8'}
Onların kaleme aldıklarını Batıya mı kaçırırsın?	{'7'}
- Ya sen?	{'7'}
- Aynı fikirde misin? - Evet, sen de öyle!	{'1'}
Onunla konuştun!	{'7'}
16 yaşımda.	{'6'}
Ben bir entelektüeldim.	{'5'}
O bir bilim adamından çok, ...bir sanatçı.	{'7'}
Ve sen ona âşık oldun.	{'8'}
O benim ilk aşkımdı.	{'8'}
Artık hiçbir yerde masumiyet yoktu.	{'8'}
Başka birinden yardım aldı mı? - Hayır.	{'2'}
Onun düşüncelerinde yapayalnız olduğuna emin olduğum için.	{'6'}
Yakov, büyük bir yalandan söz eder.	{'6'}
Elbette.	{'4', '8', '5'}
Bela.	{'4'}
Ben seni ararım.	{'2'}
Hayır sıkmadın.	{'7'}
Sadece kendimden söz edeceğim. Bir tur daha yaparım.	{'2'}
Seni özleyeceğim.	{'6'}
Bir şeyi bilmeni istiyorum, Scott.	{'2'}
Barley'nin temas için üç şansı var.	{'8'}
Yolunu mu kaybettin?	{'7'}
Neden sen de denemiyorsun?	{'1'}
Neredesin, Dante?	{'2'}
Ayık olan yalnız ikimizdik.	{'4'}
- Başardı! Ne yazık ki Niki bana ulaşamadı.	{'6'}
Kimse sana ihanet etmedi.	{'8'}
Yazıların açığa çıktı, hepsi bu.	{'3'}
Kitabımı basmayı reddettiğini mi söylüyorsun?	{'4'}
- Çok hızlı gidiyorsun.	{'1'}
Ama olsun.	{'6'}
Birlikte hareket edersek, birlikte hayatta kalırız.	{'8'}
Ben, olduğumu sandığın adam değilim.	{'6'}
Bunun için çok geç.	{'8'}
Burası devrimin başladığı yer.	{'5'}
Bu yeri, Aurora savaş gemisinin devrimin başladığını haber veren, o top atışını yaptığı gün hayal et.	{'2'}
Vakit tamam.	{'5'}
Sana vermemi istediler.	{'4'}
Onlar sana da karşı bana da.	{'4'}
İngiltere'ye gel, bırak seni kaçırsınlar.	{'2'}
Ben seninleyim.	{'8'}
- Malzeme iyi mi?	{'8'}
Günün kahramanı sensin.	{'8'}
Sen bir yıldızsın.	{'5'}
Tebrik ederim, Russel.	{'5'}
Sorun şu, birçok mirasyedi zenginin önündeki pirinç kapları, kırılma tehlikesi ile karşı karşıya bunun tek nedeni de bu lanet defterler!	{'4'}
Ben bunları söylemek için buraya gelmek zorunda mıydım?	{'1'}
Sana bir şey söyleyeceğim.	{'4'}
Her beş dakikada bir Rusya'ya gitmeniz neden?	{'1'}
Bu makul bir soru.	{'8'}
Kimileri benzetmeyi hiç sevmez de. Nedenini hiç bilemem.	{'6'}
Benim Picasso'm değil, Russel.	{'1'}
Quinn, burnundan soluyor.	{'5'}
Kaçınmak istiyorsanız, hiç sokağa çıkmayacaksınız.	{'4'}
Ama Amerika'dan çok Rusya'ya gider gibisiniz.	{'6'}
Ray, tanıdığım en tatlı adamdı.	{'5'}
Kurtul ondan, Clive.	{'3'}
Bize göre değil.	{'4'}
Dante iyi çocuksa, jokeri çekecektir.	{'5'}
Bunu ben sağlayacağım.	{'5'}
Rüşvet veya tehdide boyun eğmez.	{'8'}
Kimse bizi kardeş sevgisi için tutmadı, Ned.	{'5'}
Bu Sovyet askeri sırlarını açığa çıkarıp silahlanma yarışını kazanmamızı sağlayacak bir liste.	{'7'}
Son derece iyi.	{'5'}
Blair'in bantları şifrelenip uydu ile Londra'ya gönderilecek ve dakikalar içinde çözülüp okunacak.	{'8'}
- Spikey! tekrar izin mi verdiler?	{'3'}
Aslında Leningrad ile ilgilenmiyorsun, değil mi?	{'3'}
Genç ve güzel biriyse, seni affediyorum.	{'8'}
Gerçekten çok güzel.	{'8', '5'}
Evet, son durum şu:	{'2'}
Hasta olduğunu, ama iyileştiğini bildirdi.	{'5'}
Senden başka güvenilir dostu yok sanıyordum.	{'7'}
Sorun ne?	{'6', '4', '1'}
Yakov'un mektubunu çevirmemi istiyor musun istemiyor musun?	{'1'}
Çevirmesem daha iyi.	{'6'}
Bana çok nadir yazar.	{'2'}
Bu çok iyi.	{'5'}
- Ona söyle.	{'1'}
- Mükemmel.	{'5'}
Hastaneye gelemezsin, Barley.	{'6'}
- Mektubun sonu nasıl bitiyor?	{'2'}
Yine aşk sözleri ha?	{'8'}
Ne çocukluğu?	{'1'}
Hayır, dinlemek yok! Daha fazla dinlemek yok!	{'1'}
İnsanlar böyle şeyler yapar.	{'6'}
Ondan bahsediyor. - Seni seviyorum.	{'8'}
Tüm başarısızlığım, seninle buluşabilmek için bir araçtı.	{'6'}
Bu bencil olmayan bir aşk. Olgun bir aşk.  - Bunu biliyorsun.	{'5'}
Benim hayatımda artık sadece gerçeğe yer var.	{'8'}
Ne yapıyorsun?	{'4', '2', '8'}
Ben senden yanayım.	{'8'}
- Ben yorgun olduğumu sanmıyorum.	{'1'}
Sovyet olsan sen de susturmazdın, değil mi?	{'7'}
Bir daha kaşık bile tutamayabilir.	{'2'}
Neden o kullanıyor?	{'7'}
- Ne görüyorsam, sen de görüyorsun.	{'8'}
Hadi. Kaset nerede?	{'2'}
Sorun çıktı mı peki?	{'2'}
Çok iyi.	{'5'}
Evet, mükemmel.	{'5'}
Yoldaşlar, bayanlar ve baylar sizlere ve yeni ortaklığımıza. Hoş geldiniz.	{'5'}
Geri çağır.	{'1'}
Neden hâlâ ortalarda dolaşıyor?	{'1'}
Bitti, Russel.	{'6'}
Bu iş bitti.	{'6'}
Asansörün bu sabah çalıştığını bilmek hoşuna gidecektir sanırım.	{'5'}
Sorular yüzeyde belirecek.	{'2'}
Geri getirmeyi unutma.	{'8'}
Her şey yolunda gidecek.	{'5'}
Umarım öyle olur, Jack.	{'8'}
Ve en çok bilmek istediğimiz şeyleri.	{'2'}
Kendi yöntemiyle, Dante'ye verdiği sözü tutuyor.	{'8'}
Ve Katya'yı korumaya çalışıyor.	{'2'}
- Ve İngiliz İstihbaratı, mektubu size ilk defa Lizbon'da gösterdi.	{'7'}
- Prof. Savelyev ne yazık ki öldü.	{'6'}
"Üstüme herkesten çok geleceğini düşündüm.
en/1990/100530/5988200.xml.gz	tr/1990/100530/5283075.xml.gz	1679	1552	Yakov is taken.	Yakov götürülmüş.
en/1990/100530/5988200.xml.gz	tr/1990/100530/5283075.xml.gz	1688	1561 1562	And I was thinking 'Why haven't they arrested us?'"	{'6'}
Eğlenceli olduğunu biliyorum.	{'8'}
Dans etmek ister misin?	{'5'}
Sen daha ağırbaşlısın.	{'1'}
Neşeliyim.	{'8'}
Kapıyı çalmadan girip çıkar.	{'3'}
Olur, çocukları uyandırmazsak.	{'5'}
Günaydın!	{'5'}
Bu eve girmek istiyorsan, lanet zili çalacaksın!	{'1'}
Afedersin.	{'8'}
Doğru ajanı seçtiniz, efendim.	{'8'}
Hayallerinin görevini kaptın!	{'5'}
Gizli görevdesin, dostum.	{'8'}
Bu önemli bir görev.	{'2'}
Uzun bir süre dışarda olacaksın 4 hafta, 8 hafta--	{'8'}
Telefon bile açamayacak mısın?	{'1'}
Tamam, arkadaşlar, bu kadar.	{'2'}
Mallarını satmaya hazır olduklarında sizinle temasa geçecekler.	{'2'}
Büroda iyi bir gün geçir, tatlım.	{'8'}
Görüşürüz, sevgilim.	{'8'}
Yavaş!	{'8'}
Pekala, beyler, neyimiz var?	{'2'}
Bunlarla ne halt edeceğiz?	{'1'}
İyi günler.	{'8'}
Merhaba, çocuklar!	{'2'}
Güzel görünüyor.	{'5'}
Çikolatalı alacağım.	{'2'}
Fikrimi değiştirdim.	{'4'}
Açık tiribünde yapabilir.	{'5'}
Parayı topluma ne zaman verecektin?	{'1'}
Benimle vaktini boşa harcama.	{'6'}
Hadi, ahbap.	{'2'}
Burada olacaklarını söylemişse burada olurlar.	{'8'}
Piç.	{'1'}
Yemin ederim haberim yoktu!	{'7'}
Hayatımda bir kez olsun...	{'1'}
3 gün içinde New York'ta yeniden tanıklık yapmak zorunda, ama şimdi yapamayacak çünkü yarın bu hikaye bütün gazetelerde çıkacak.	{'4'}
24 saat içinde tüm amerikadaki tetikçiler buraya akın edecek.	{'4'}
Kesin haklı olduğumu bildiğimde asla bahse girmem.	{'5'}
Muhtemelen çok bahse girmiyorsun, hayatında bir kez yanıldığından beri.	{'1'}
Beni bu pislikten kurtarmalısın!	{'1'}
İşte tüm yaşam tarzın bu.	{'6'}
Sen ufak bir kılıçbalığı çal, ve Hannah rahat olsun?	{'7'}
Küçükler ligi için para toplamaya kalk, ama tüm toplum rahat olsun?	{'1'}
Bir muhafız yok mu?	{'7'}
Herşey yolunda mı, Vinnie?	{'7'}
Oh, Jimmy, evet.	{'8'}
Güzel, değil mi?	{'5'}
Hey... En azından ona bulaşmayacaksın.	{'2'}
Sana o kadar çok öfkeliyim ki!	{'6'}
Barney, üzgünüm.	{'6'}
Tabii, elbette.	{'7'}
Bu beni sonsuza dek lanetlerdi ve bu gerçek.	{'6'}
Vinnie, hiçbir şey yapma.	{'4'}
Lütfen, kes artık.	{'4'}
Vinnie, ne oldu şimdi?	{'3'}
Hiç kimsenin umurunda olmadığı bu adamı tehlike altında göstermek.	{'1'}
Eğilin!	{'7'}
Hannah!	{'5'}
Yürü, Coopersmith!	{'1'}
Arabamı kullan.	{'5'}
Benide al!	{'2'}
Atla.	{'3'}
Buna inanamıyorum.	{'2', '7'}
Bu canımı yaktı şimdi.	{'6'}
Bak...	{'2'}
En sevdiğim amcam, Alfresco amca, bana o bisikleti alacağına söz vermişti.	{'1'}
Buraya gel, kimsenin canı yanmasın.	{'1'}
Hadi, Vinnie!	{'5'}
Sandım ki--	{'7'}
Yalan söyledim.	{'6', '4'}
Buna inanmamı mı umuyorsunuz?	{'1'}
Evet, öyle.	{'8'}
Güzel.	{'8', '5'}
Çok güzel.	{'8', '5'}
Hey, Crystal, sana göstereyim.	{'1'}
Soğuk soda!	{'2'}
Suçlu birinin yaşam öyküsü.	{'1'}
Kaderin bir oyunu olmalı.	{'1'}
Hadi iyi bir oyun olsun.	{'2'}
Güzelsiniz.	{'5'}
Hızlıca kaçmanız gerekir diye mi?	{'8'}
Brian şirkete girdiğinden beri beni evlendirmeye uğraşıp durur.	{'6'}
Umarım sormamın bir sakıncası yoktur neden bu şekilde buluşmayı kabul ettiniz?	{'8'}
Hoş bir adam gibi görünüyordu.	{'5'}
Bizi içeri davet etmeyecek misin? Tabi.	{'1'}
- Meşgul olduğunu görüyorum. - Evet.	{'6'}
Senin için ne yapabilirim?	{'7'}
Gırtlağına kadar borca batmış. Yatırımları kar getirmemiş.	{'6'}
Ona güvenen adama gelip yardım istememiş.	{'6'}
Onun yaptığı şey, paramı öylece yürütmek paramın çoğunu.	{'6'}
Bu nedenle ne yaptığını anlamak cidden zor oldu.	{'8'}
- Anlıyorum.	{'1'}
Düşündüğün gibi değil, asla--	{'4'}
Her ne kadar bana ihanet etsen de sana güvenirim.	{'8'}
İşte yapman gerekenler.	{'8'}
Faiziyle birlikte benden aldıklarını geri vereceksin.	{'1'}
Etkilendim. Buyrun, Müfettiş.	{'8'}
Parmak izlerini Federal Bilgisayar'a işledik.	{'4'}
- Senin görüşün, sıkıştığında annesini satan bir muhbirden, doğruluğu kanıtlanmamış bir olayla çıka gelmiştin.	{'1'}
Bu tip şeylerden nefret ederim. Özür dilerim efendim.	{'1'}
Umurumda değil.	{'3'}
Esas oğlan bize takip edildiğimizi söyler mi ki?	{'4'}
Beni nasıl buldunuz?	{'6'}
Ocakta kahve var.	{'5'}
Ne de hoşsunuz.	{'7'}
Hangi durumda olduğumu tam anlamıyla biliyorum.	{'1'}
Burada kalırsanız, sizi bulacaklarıdır.	{'8'}
Şahitlik yapmıyorum.	{'1'}
- Şansımı deneyeceğim.	{'5'}
Hiç mi tahmin etmedin?	{'1'}
Tren hız kesiyor. İstasyon ne kadar uzakta?	{'2'}
- Korkarım hayır.	{'6'}
Yanlışlık var ve burası sizin?	{'6'}
Bu kompartıman bize ait.	{'1'}
Bir keresinde, ben, ben arabamı kaybettim.	{'6'}
Yalan söylüyor anne.	{'1'}
Silahın var mı?	{'2'}
Pekala, misafir bekliyor muyuz?	{'2'}
- İzle de gör.	{'8'}
Ben aptal değilim, Bay Caulfield.	{'1'}
Söz veriyorum. Aman ne rahatladım.	{'5'}
Büyük bir ağzın var.	{'1'}
İyi anladığını sanmıyorum.	{'4'}
Sizi rahatsız ettiğim için üzgünüm.	{'6'}
Önüme bakmıyordum.	{'6'}
Helikopter yok edildi. Pilot öldü.	{'6'}
Failler trende.	{'4'}
Dayanamayız. Onu bulacaklardır.	{'4'}
Her şeyin yoluna gireceğini söylüyorum.	{'8'}
- Sana bir şeyler getireyim.	{'5'}
- Evet, bira lütfen.	{'5'}
Yalnızca ayağım. Hafta bir tane daha çıkar.	{'5'}
Çok sakarım.	{'6'}
O kadar da zor değilmiş.	{'7'}
Hayır, affedersiniz, gerçekten.	{'8'}
Bir şey söylemen gerek.	{'4'}
Mesela?	{'7'}
Bu dünyayı farklı kılar. Yakında istasyona varacağız.	{'5'}
İnsanlar, bunun ne kadar feci bir şey olduğunu söyleyecek. Pilot için başka bir cenaze töreni olacak.	{'6'}
Benti'ninki gibi şatafatlı olmayacak.	{'1'}
Trende.	{'2'}
Benim ahmaklığım. Bunu bir daha yapmayacağım.	{'6'}
Bundan zevk duyarım.	{'8'}
Çalıştığım insanlar çok kararlıdırlar.	{'8'}
Dahası, bu kadar uzun süre hayatta kalamazsınız.	{'4'}
İşte, hayal edemeyeceğiniz kadar çok paraya sahip olmak o kadar külfetli değil.	{'1'}
Bizler, sizin gibi profesyoneliz. Tıpkı sizin gibi.	{'4'}
Kaçmamızı meydan vermeyecek trende olabilecek çirkin bir kaza bizim de çıkarımıza olmaz.	{'4'}
Utanç verici değil mi?	{'6'}
Sakın bana	{'1'}
Gerçekten zevk alacağım.	{'8'}
Vancouver ve burası arasında pek durak kalmadı.	{'1'}
Bu küçük sohbetten gerçekten zevk aldım. Gerçekten.	{'4'}
- Artık gitmeliyim.	{'4'}
Aman Tanrım ne oldu?	{'7'}
İyi niyetli bir arkadaş onunla bir ilk buluşma ayarlamış.	{'8'}
İyi mi yoksa kötü bir adam mıydı bilmiyorum.	{'7'}
O gece eve nasıl gittim bilmiyorum.	{'4'}
Hepsi saat 23.00 haberlerinde yer aldı. Michael Tarlow'un kim olduğunu.  Bir avukatmış şu Leo Watts adındaki gangsterin hesabına çalışıyormuş.	{'2'}
Burada güvende olabileceğimi sandım.	{'6'}
Ben sadece çok korkuyorum.	{'4'}
Yardım isteyebileceğim hiç kimse yok.	{'4'}
Neden biraz uyumayı denemiyorsun?	{'5'}
- Henüz ölmedik mi?	{'4'}
Seni bir süreliğine yalnız bırakacağım.	{'1'}
- Nereye gidiyorsun? - Yemek vagonuna.	{'7'}
Biraz kahve getireyim mi?	{'2'}
iyi olurdu.	{'8'}
Bu treni soymayacaksın.	{'4'}
Buyur buradan yak.	{'4'}
O gerçek değil, değil mi? - Elbette değil.	{'4'}
Sana kımıldayabileceğini söylemedim.	{'6'}
- Sana bunu ispatlasam.	{'7'}
Ama gerçek değil ki.	{'1'}
Bu konudan kimseye bahsetmeyeceğiz tamam mı?	{'4'}
Bu konuda her hangi bir şey söylersen...	{'4'}
Sadece kahve içecektim.	{'4'}
Beni görmek ister misiniz?	{'2'}
Ona kompartımanımızı vermiştim.	{'5'}
Hile yaptım. O da yaptı.	{'5'}
Şey, gitmeliyim.	{'4'}
Anlamıyorsun. - Anlıyorum.	{'1'}
Söylüyorum.	{'4'}
Kompartımanına git ve kapıyı kapat.	{'1'}
Haberleşmeler kesildi?	{'7'}
Larner'a, Dahlbeck'in kirlendiğini söylesinler.	{'2'}
Hemen hallediyorum.	{'2'}
- Onu götürmüşler.	{'4'}
- Kimi?	{'7'}
Yoldan çekil.	{'1'}
- Tavana çık!	{'7'}
- Yapamam.	{'4'}
Tavana çıkınca, dümdüz yat.	{'8'}
Yolun solu, pislik herif.	{'1'}
Yapmanı istiyorum.	{'8'}
- Hadi gidelim!	{'2'}
Senin neyini sevdim biliyor musun?	{'8'}
Kadın güvende.	{'5'}
Onlarla bağlantıya geç.	{'2'}
Bay Tarlow odadakilerden birine ismiyle hitap etti mi?	{'2'}
Mayday!	{'4'}
Burası Birleşik Devletler Donanma helikopteri size doğru geliyoruz!	{'4'}
Dikkat edin.	{'4'}
Sizi kurtarmak için olduğunuz bölgeye alçalıyoruz!	{'8'}
Söyleyin,hemen oradan ayrılsınlar.	{'1'}
- Düşüyoruz!	{'4'}
- Helikopter vuruldu!	{'4'}
Hawkins!	{'4'}
Graham nerede?	{'1'}
30 dakika içinde evlenmiş olucakta ondan.	{'7'}
Bu şeyi beraber halledeceğiz.	{'4'}
Neşelen, Chief.	{'1'}
Siktir, sanırım.	{'1'}
- Umarım zatürreden dolayı ölür.	{'1'}
Afedersiniz.	{'8'}
Siz çocukların zamanlaması sürekli kötü zaten.	{'6'}
Baylar, Cennette bir Tanrı var.	{'8'}
X-Ray, Burası Kötü Karma. Hedef güvende.	{'4'}
Düşman.	{'6'}
- Burada biri var.	{'2'}
God, tek bir nişancı var, güneydoğu kulesinde!	{'4'}
Evet, Gördüm.	{'2'}
- God, durum nedir?	{'4'}
Patikada!	{'7'}
Sakin olman beni sinir ediyor!	{'1'}
Kuş 02:45 te varıcak.	{'2'}
- Ramos, elini bana ver.	{'8'}
Neden ateş etmiyorlar?	{'4'}
- Olmaz!	{'1'}
- Bundan başka belge yokmuydu?	{'4'}
Neden bize geri dönüp füzeleri yoketmediğini söylermisin, Teğmen?	{'1'}
Bölüyor muyum?	{'7'}
Bir haftalık olabilir.	{'1'}
- Evet, peki, kim bilebilirdiki?	{'1'}
Oradayken işini bitirmeliydim.	{'6'}
Yüksekte aradığın tarafın o değil.	{'6'}
Bir adamın ailesini öldürüp insan haklarını hakkında konuşamazsınız!	{'1'}
Misilleme için evlerimizi bombalayıp Amerikan savaş gemileri tarafından ailelerimizi katletdiniz!	{'4'}
Hiçbir şey bilmiyoruz fakat Hizbullah ile bağlantıları olduğundan eminiz. Yüce İsa!	{'4'}
Nasıl bilemeyiz, öğrenmemiz lazım?	{'7'}
Elinizde fırsat varken neden füzeleri yoketmediniz?	{'1'}
Kimse sizi ya da donanmayı suçlamıyor, Curran.	{'8'}
Sen operatör'sün diplomat değil. Buna alışsan iyi olur.	{'3'}
Başını aşağıda tut, becerikli!	{'4'}
Duygularını kontrol altına al, evlat.	{'1'}
Bilmem gerekiyor istiyormusun diye.	{'2'}
Nasıl yapılacağını gösterelim.	{'1'}
Gemi Müslüman yolcularla dolu rehine durumuda yaşayabiliriz.	{'4'}
Pekala rehine durumu ile ilgili ne yapacağız?	{'4'}
Bu bir ticari gemi.	{'5'}
Burada ne haltlar dönüyor?	{'7'}
Doğru gemideyiz.	{'8'}
Hawkins, durumunuz nedir?	{'4'}
- Annen hakkında birşeyler.	{'7'}
Asla annem hakkında konuşma.	{'1'}
Ve sonra hoşgörü gitti, inanç öfkeye dönüştü.	{'4'}
Sana birkaç soru sormak istiyorum.	{'2'}
Bu grup hakkında ilgini çeken birşeyler mi var?	{'3'}
Hadi ama, Teğmen.	{'1'}
Bakabilirmiyim?	{'2'}
- Bu çocuklar, bu işi para için yapmıyor - Nasıl?	{'4'}
Sanırım birşeyleri kanıtlamak için çalışıyoruz.	{'6'}
O zaman gerçekten bir gemide füze tuttuklarını düşünüyorsunuz?	{'7'}
Şekerim!	{'5'}
Füzeleri olduğunu biliyorsun.	{'1'}
Evet, Görevli Subaya bağlayabilirmisin, lütfen? Teşekkürler.	{'2'}
- Lütfen bizi tanıştır.	{'8'}
Favori yerlerimden biri.	{'8'}
Ne kadar boktan bir yer!	{'3'}
Ben de kendimi yarı çaput görürüm.	{'2'}
- İyi o zaman.	{'8'}
İyi olurum.	{'5'}
Sanırım Fresno'da mülteci meksikalılar ile büyümüş o kadar da kötü değil	{'5'}
"Şunu biliyormusun ""Arabayı çevir ve beni otele bırak""? Bak, önümüzde harika bir okyanus ve ay birbirini cezbeden iki kişi."	{'1'}
Ve eğer beni otele bırakmayacaksan, yüreyerek gideceğim.	{'6'}
Asla ve asla öğrenemeyecekler.	{'8'}
O hala burada, değil mi, Hawkins?	{'2'}
Yedi yolcu ve iki görevli öldü!	{'6'}
Saldırıdan sorumlu olduğu sanılan iki adam yakalandı!	{'7'}
Bize biraz bilgi ver. Biraz.	{'1'}
Fakat daha fazla yardımcı olamam.	{'4'}
Kulağa hoş geliyor.	{'5'}
Durumu anladığınızı sanmıyorum. Bu adamlar dini fanatiklerden.	{'4'}
Onları konuşturmanın bir yolu yok.	{'6'}
Eğer bilgiye sahip ise, neden senin ile iletişime geçmedi?	{'7'}
Göç etmesi için de arayabilirsin. Eğer istersen,Jim	{'1'}
İşin aslı,elemana parayı ver, oda yatağına atlasın.	{'1'}
Warren, plana devam edelim mi ?	{'1'}
Hadi tekrar edelim.	{'2'}
Birlikte hareket edeceğiz, sadece birlikte	{'8'}
Sadece bir geçiş hakkınız var.	{'7'}
Sadece parka yürüyüş yapıcaz.	{'5'}
